season_label,gameweek,web_name,initial_price,predicted_points,points_p10,points_p90,total_points,forecast_eo,realized_eo,nonowner_expected_drag,nonowner_realized_rank_points,owner_realized_rank_points,value_above_replacement_per_m,fair_price,valuation_edge
2024/25,35,Haaland,15.0,3.5144739562890606,0.29445365667201795,8.695028855167678,0,0.0,0.0,-0.0,-0.0,0.0,0.35144739562890603,,
2024/25,36,Haaland,15.0,3.159536653453974,-0.06048364616306845,8.340091552332591,2,0.0,0.12965425531914893,-0.0,-0.25930851063829785,1.7406914893617023,0.3009082527099023,,
2024/25,37,Haaland,15.0,4.504290097260761,1.2842697976437187,9.684844996139379,2,0.12965425531914893,0.06981382978723405,-0.5840003783017609,-0.1396276595744681,1.860372340425532,0.4289800092629297,,
2024/25,38,Haaland,15.0,4.800192546956989,1.5801722473399464,9.980747445835608,6,0.06981382978723405,0.0499001996007984,-0.3351198254192047,-0.29940119760479045,5.700598802395209,0.17326664112009466,15.54336735960536,0.0986958040077317
2025/26,1,Haaland,14.0,3.1194975208127893,-0.08885293403760253,8.599793709729205,13,0.0,0.92,-0.0,-11.96,1.0399999999999996,6.238995041625579,,
2025/26,2,Haaland,14.0,6.956489583239777,3.748139128389385,12.436785772156194,2,0.92,0.97,-6.399970416580595,-1.94,0.06000000000000005,0.4342900457461236,15.13996595644618,0.4988672756195678
2025/26,3,Haaland,14.0,6.379765723798148,3.1714152689477566,11.860061912714565,9,0.97,1.07,-6.188372752084204,-9.63,-0.6300000000000006,0.39191558282455385,13.107535192852716,-0.44508402712414163
2025/26,4,Haaland,14.0,6.548515219168022,3.3401647643176298,12.028811408084438,13,1.07,1.13,-7.006911284509783,-14.689999999999998,-1.6899999999999986,0.40985156479411206,13.798533988210188,-0.0947773252934514
2025/26,5,Haaland,14.0,6.7659610711808975,3.5576106163305057,12.246257260097314,9,1.13,0.88,-7.645536010434413,-7.92,1.08,0.4284277346893475,14.270705738667884,0.12733665844885333
2025/26,6,Haaland,14.0,6.597502371121512,3.38915191627112,12.077798560037929,16,0.88,2.6,-5.80580208658693,-41.6,-25.6,0.40417500523844224,14.524359439266183,0.22538392271996432
2025/26,7,Haaland,14.0,7.127967358622215,3.9196169037718236,12.608263547538632,8,2.6,1.92,-18.53271513241776,-15.36,-7.359999999999999,0.44140802119801437,14.5319916689873,0.26706869932183785
2025/26,8,Haaland,14.0,6.8262204956839065,3.6178700408335147,12.306516684600323,13,1.92,1.99,-13.1063433517131,-25.87,-12.87,0.4421582021348293,15.176372458726778,0.5223718229513228
2025/26,9,Haaland,14.0,7.1781371777168514,3.9697867228664596,12.658433366633268,2,1.99,1.89,-14.284492983656534,-3.78,-1.7799999999999998,0.49858765752744566,15.510181156385212,0.7234383935883786
2025/26,10,Haaland,14.0,6.708915369017505,3.500564914167113,12.189211557933922,13,1.89,1.97,-12.679850047443082,-25.61,-12.61,0.38322242066342327,15.985655801574246,0.7492527343327948
2025/26,11,Haaland,14.0,6.8609439474282246,3.6525934925778327,12.341240136344641,4,1.97,1.84,-13.516059576433602,-7.36,-3.3600000000000003,0.40583711050435517,15.103433595023475,0.4837470202864331
2025/26,12,Haaland,14.0,6.604261285141583,3.3959108302911916,12.084557474058,2,1.84,1.69,-12.151840764660514,-3.38,-1.38,0.41415407800337717,15.241712852512366,0.5232496009756362
2025/26,13,Haaland,14.0,6.2626827517813295,3.0543322969309377,11.742978940697746,2,1.69,2.09,-10.583933850510446,-4.18,-2.1799999999999997,0.3465069886370419,15.478373565389836,0.528748235361836
2025/26,14,Haaland,14.0,6.025789489839721,2.8174390349893295,11.506085678756138,14,2.09,1.72,-12.593900033765017,-24.08,-10.08,0.3453177687343894,15.18823289830385,0.399842301324683
2025/26,15,Haaland,14.0,6.409816978109755,3.2014665232593633,11.890113167026172,2,1.72,1.99,-11.024885202348779,-3.98,-1.98,0.3808908163635798,14.977217414416629,0.39983658751086626
2025/26,16,Haaland,14.0,5.910389727199873,2.7020392723494813,11.39068591611629,13,1.99,1.31,-11.761675557127747,-17.03,-4.030000000000001,0.36373166898657044,14.767709933369089,0.2861729782265634
2025/26,17,Haaland,14.0,6.473792187742123,3.265441732891731,11.95408837665854,16,1.31,2.18,-8.480667765942181,-34.88,-18.880000000000003,0.39075162576701716,14.038812725250283,0.017439476751397898
2025/26,18,Haaland,14.0,6.847059982870888,3.6387095280204957,12.327356171787304,2,2.18,1.77,-14.926590762658536,-3.54,-1.54,0.4527706857456506,14.61976131083397,0.2852192445749884
2025/26,19,Haaland,14.0,6.640754583040386,3.432404128189994,12.121050771956803,2,1.77,1.74,-11.754135611981484,-3.48,-1.48,0.4363981846979565,14.594966266058375,0.2645949210695102
2025/26,20,Haaland,14.0,6.497685374917457,3.289334920067065,11.977981563833874,2,1.74,1.96,-11.305972552356375,-3.92,-1.92,0.38396864975237166,14.188618604125674,0.08596005342282442
2025/26,21,Haaland,14.0,6.045129722932455,2.8367792680820636,11.525425911848872,6,1.96,1.96,-11.848454256947612,-11.76,-5.76,0.3100833771537084,15.271764641586422,0.4200327540360851
2025/26,22,Haaland,14.0,6.27741298684123,3.0690625319908382,11.757709175757647,2,1.96,1.81,-12.30372945420881,-3.62,-1.62,0.34677753387395777,15.008292808995751,0.37047549911180777
