squad_slot,gameweek,human_points,model_points,weekly_delta,cumulative_human,cumulative_model,cumulative_delta,raw_cumulative_human,raw_cumulative_model,raw_cumulative_delta,comparison_eligible,free_transfers_before,transfers,hit_cost,predicted_lineup_points,predicted_3gw_gain_vs_hold,bank,captain,transfer_detail,human_chip
3,18,70.0,39.0,-31.0,456.0,367.0,-89.0,521.0,411.0,-110.0,True,1,1,0,55.768,0.611,2.0,Haaland,Mateta -> Calvert-Lewin,
3,19,48.0,46.0,-2.0,504.0,413.0,-91.0,569.0,457.0,-112.0,True,1,1,0,56.527,2.381,0.0,Haaland,Caicedo -> Gordon,
3,20,64.0,52.0,-12.0,568.0,465.0,-103.0,633.0,509.0,-124.0,True,1,1,0,53.652,1.163,0.0,Haaland,Enzo -> Bruno G.,
3,21,70.0,63.0,-7.0,638.0,528.0,-110.0,703.0,572.0,-131.0,True,1,1,0,52.193,0.434,1.5,Haaland,Saka -> Wirtz,
3,22,45.0,34.0,-11.0,683.0,562.0,-121.0,748.0,606.0,-142.0,True,1,1,0,54.464,1.337,1.0,Haaland,Gordon -> Ødegaard,
3,23,52.0,39.0,-13.0,735.0,601.0,-134.0,800.0,645.0,-155.0,True,1,1,0,54.206,1.653,1.5,Haaland,O'Reilly -> Dorgu,
3,24,70.0,77.0,7.0,805.0,678.0,-127.0,870.0,722.0,-148.0,True,1,1,0,51.827,3.644,0.5,B.Fernandes,Foden -> B.Fernandes,
3,25,72.0,62.0,-10.0,877.0,740.0,-137.0,942.0,784.0,-158.0,True,1,1,0,51.212,4.507,0.5,B.Fernandes,Bruno G. -> Enzo,
3,26,94.0,63.0,-31.0,971.0,803.0,-168.0,1036.0,847.0,-189.0,True,1,1,0,55.648,4.677,1.5,Haaland,Ødegaard -> Rogers,
3,27,46.0,54.0,8.0,1017.0,857.0,-160.0,1082.0,901.0,-181.0,True,1,1,0,58.398,3.198,0.0,Haaland,Dorgu -> Gabriel,
3,28,81.0,66.0,-15.0,1098.0,923.0,-175.0,1163.0,967.0,-196.0,True,1,1,0,55.487,0.016,0.5,Haaland,Wirtz -> Mbeumo,
3,29,47.0,72.0,25.0,1145.0,995.0,-150.0,1210.0,1039.0,-171.0,True,1,2,4,52.194,3.89,3.5,Palmer,Haaland -> João Pedro; Rogers -> Palmer,
3,30,62.0,64.0,2.0,1207.0,1059.0,-148.0,1272.0,1103.0,-169.0,True,1,1,0,58.535,2.279,0.5,B.Fernandes,Calvert-Lewin -> Ekitiké,
3,31,68.0,35.0,-33.0,1275.0,1094.0,-181.0,1340.0,1138.0,-202.0,True,1,1,0,52.72,1.328,1.0,Palmer,Konaté -> O'Reilly,
3,32,67.0,61.0,-6.0,1342.0,1155.0,-187.0,1407.0,1199.0,-208.0,True,1,1,0,52.188,3.634,1.0,B.Fernandes,O'Reilly -> N.Williams,
3,33,107.0,38.0,-69.0,1342.0,1155.0,-187.0,1514.0,1237.0,-277.0,False,1,2,4,49.576,5.236,1.5,B.Fernandes,Enzo -> Szoboszlai; Ekitiké -> Bowen,3xc
3,34,65.0,57.0,-8.0,1342.0,1155.0,-187.0,1579.0,1294.0,-285.0,False,1,1,0,54.181,6.424,3.0,B.Fernandes,Mbeumo -> Cherki,Free Hit
